+------------------+-------+
| Unigram          | Count |
+------------------+-------+
| water            |   270 |
| road             |   239 |
| flooding         |   137 |
| river            |   122 |
| banks            |    97 |
| burst            |    88 |
| burn             |    85 |
| flooded          |    85 |
| properties       |    61 |
| area             |    56 |
| flood            |    47 |
| bridge           |    46 |
| deep             |    43 |
| fields           |    39 |
| coming           |    36 |
| due              |    31 |
| blocked          |    31 |
| street           |    31 |
| running          |    31 |
| house            |    31 |
| rain             |    31 |
| nearby           |    30 |
| inches           |    29 |
| field            |    29 |
| park             |    29 |
| high             |    27 |
| property         |    25 |
| flowing          |    24 |
| onto             |    24 |
| gardens          |    23 |
| rising           |    23 |
| across           |    23 |
| surface          |    23 |
| houses           |    21 |
| foot             |    21 |
| level            |    20 |
| side             |    20 |
| causing          |    20 |
| impassable       |    20 |
| one              |    19 |
| drains           |    19 |
| roads            |    18 |
| dirty            |    17 |
| garden           |    17 |
| heavy            |    17 |
| levels           |    17 |
| local            |    16 |
| fast             |    16 |
| run              |    16 |
| drain            |    16 |
| drive            |    16 |
| near             |    15 |
| cars             |    15 |
| also             |    15 |
| feet             |    15 |
| back             |    15 |
| depth            |    15 |
| runoff           |    15 |
| main             |    15 |
| two              |    15 |
| car              |    14 |
| closed           |    14 |
| traffic          |    14 |
| passable         |    14 |
| still            |    14 |
| get              |    14 |
| overflowing      |    12 |
| stream           |    12 |
| currently        |    12 |
| towards          |    12 |
| care             |    12 |
| away             |    12 |
| large            |    12 |
| affecting        |    12 |
| b                |    11 |
| council          |    11 |
| rear             |    11 |
| close            |    11 |
| caused           |    11 |
| covering         |    11 |
| ab               |    11 |
| rainfall         |    10 |
| railway          |    10 |
| place            |    10 |
| surrounding      |    10 |
| completely       |    10 |
| quickly          |    10 |
| bank             |     9 |
| like             |     9 |
| full             |     9 |
| adjacent         |     9 |
| culvert          |     9 |
| pouring          |     9 |
| flow             |     9 |
| tay              |     9 |
| width            |     9 |
| around           |     9 |
| runs             |     9 |
| may              |     9 |
| within           |     9 |
| heading          |     9 |
| drainage         |     9 |
| opposite         |     8 |
| happened         |     8 |
| junction         |     8 |
| door             |     8 |
| ground           |     8 |
| east             |     8 |
| affected         |     8 |
| access           |     8 |
| station          |     8 |
| along            |     8 |
| sewage           |     8 |
| extensive        |     8 |
| vehicles         |     8 |
| farm             |     8 |
| land             |     8 |
| stuck            |     8 |
| time             |     8 |
| north            |     8 |
| mains            |     7 |
| crescent         |     7 |
| multiple         |     7 |
| see              |     7 |
| footpath         |     7 |
| village          |     7 |
| risk             |     7 |
| possibly         |     7 |
| site             |     7 |
| approx           |     7 |
| lade             |     7 |
| centre           |     7 |
| way              |     7 |
| looks            |     7 |
| bursting         |     7 |
| approximately    |     7 |
| well             |     7 |
| worse            |     7 |
| next             |     7 |
| roundabout       |     7 |
| come             |     7 |
| entrance         |     7 |
| several          |     7 |
| whole            |     7 |
| going            |     7 |
| places           |     7 |
| entering         |     7 |
| almost           |     7 |
| half             |     7 |
| six              |     7 |
| unable           |     7 |
| started          |     6 |
| lying            |     6 |
| hill             |     6 |
| sides            |     6 |
| lot              |     6 |
| since            |     6 |
| go               |     6 |
| private          |     6 |
| starting         |     6 |
| south            |     6 |
| sewer            |     6 |
| overflow         |     6 |
| sure             |     6 |
| appears          |     6 |
| hours            |     6 |
| corner           |     6 |
| floor            |     6 |
| slowly           |     6 |
| hour             |     6 |
| barely           |     6 |
| people           |     6 |
| severe           |     6 |
| mill             |     6 |
| line             |     6 |
| wall             |     6 |
| old              |     6 |
| past             |     6 |
| long             |     6 |
| police           |     6 |
| west             |     6 |
| attendance       |     6 |
| entire           |     6 |
| puddles          |     5 |
| loch             |     5 |
| taking           |     5 |
| highest          |     5 |
| lane             |     5 |
| bad              |     5 |
| top              |     5 |
| estates          |     5 |
| cm               |     5 |
| course           |     5 |
| slow             |     5 |
| debris           |     5 |
| locations        |     5 |
| meters           |     5 |
| cut              |     5 |
| avenue           |     5 |
| night            |     5 |
| dighty           |     5 |
| route            |     5 |
| front            |     5 |
| approaching      |     5 |
| carriageway      |     5 |
| take             |     5 |
| millside         |     5 |
| use              |     5 |
| forest           |     5 |
| higher           |     5 |
| signs            |     5 |
| esk              |     5 |
| rd               |     5 |
| location         |     5 |
| watercourse      |     5 |
| pass             |     5 |
| estate           |     5 |
| last             |     5 |
| day              |     5 |
| quite            |     5 |
| getting          |     5 |
| spilling         |     5 |
| ft               |     5 |
| morning          |     4 |
| parallel         |     4 |
| fire             |     4 |
| built            |     4 |
| petrol           |     4 |
| th               |     4 |
| risen            |     4 |
| cause            |     4 |
| continues        |     4 |
| pm               |     4 |
| oil              |     4 |
| callers          |     4 |
| dee              |     4 |
| stirling         |     4 |
| far              |     4 |
| lanes            |     4 |
| localised        |     4 |
| needs            |     4 |
| rise             |     4 |
| round            |     4 |
| pub              |     4 |
| got              |     4 |
| fall             |     4 |
| caravan          |     4 |
| right            |     4 |
| st               |     4 |
| small            |     4 |
| forth            |     4 |
| affect           |     4 |
| much             |     4 |
| behind           |     4 |
| warning          |     4 |
| x                |     4 |
| building         |     4 |
| encroaching      |     4 |
| housing          |     4 |
| threatening      |     4 |
| edinburgh        |     4 |
| gas              |     4 |
| snow             |     4 |
| pavement         |     4 |
| hard             |     4 |
| motorway         |     4 |
| overnight        |     4 |
| urie             |     4 |
| glen             |     4 |
| covered          |     4 |
| cottage          |     4 |
| ave              |     4 |
| puddle           |     4 |
| seen             |     4 |
| sea              |     4 |
| points           |     4 |
| crosslee         |     4 |
| track            |     4 |
| middle           |     4 |
| culter           |     4 |
| three            |     4 |
| plus             |     4 |
| residents        |     4 |
| problem          |     4 |
| cruden           |     4 |
| report           |     4 |
| taken            |     4 |
| conditions       |     3 |
| castle           |     3 |
| something        |     3 |
| jed              |     3 |
| parts            |     3 |
| would            |     3 |
| teviot           |     3 |
| plain            |     3 |
| excess           |     3 |
| cope             |     3 |
| anymore          |     3 |
| gotten           |     3 |
| unaffected       |     3 |
| overflown        |     3 |
| gathering        |     3 |
| backing          |     3 |
| cannot           |     3 |
| tyre             |     3 |
| overflowed       |     3 |
| outside          |     3 |
| effecting        |     3 |
| breach           |     3 |
| residential      |     3 |
| address          |     3 |
| various          |     3 |
| clean            |     3 |
| amount           |     3 |
| unknown          |     3 |
| passing          |     3 |
| burns            |     3 |
| turning          |     3 |
| basement         |     3 |
| years            |     3 |
| sewers           |     3 |
| reaching         |     3 |
| recent           |     3 |
| path             |     3 |
| maryhill         |     3 |
| subsided         |     3 |
| n                |     3 |
| beginning        |     3 |
| cover            |     3 |
| many             |     3 |
| direction        |     3 |
| holding          |     3 |
| leading          |     3 |
| school           |     3 |
| however          |     3 |
| usually          |     3 |
| less             |     3 |
| gryffe           |     3 |
| works            |     3 |
| andrews          |     3 |
| view             |     3 |
| really           |     3 |
| increasing       |     3 |
| issue            |     3 |
| moving           |     3 |
| lower            |     3 |
| goes             |     3 |
| becoming         |     3 |
| collecting       |     3 |
| hills            |     3 |
| filling          |     3 |
| done             |     3 |
| cross            |     3 |
| possil           |     3 |
| waterside        |     3 |
| normally         |     3 |
| breached         |     3 |
| clachan          |     3 |
| bus              |     3 |
| days             |     3 |
| cycle            |     3 |
| build            |     3 |
| mound            |     3 |
| enrick           |     3 |
| neighbours       |     3 |
| rivers           |     3 |
| bottom           |     3 |
| doesnt           |     3 |
| bubbling         |     3 |
| forecast         |     3 |
| regular          |     3 |
| wont             |     3 |
| areas            |     3 |
| etc              |     3 |
| muddy            |     3 |
| garage           |     3 |
| lights           |     3 |
| roaring          |     3 |
| floating         |     3 |
| ingress          |     3 |
| hatton           |     3 |
| extreme          |     3 |
| dangerous        |     3 |
| cornton          |     3 |
| j                |     3 |
| inverurie        |     3 |
| osprey           |     3 |
| step             |     3 |
| increase         |     3 |
| afternoon        |     3 |
| new              |     3 |
| ankle            |     3 |
| summerston       |     3 |
| accumulating     |     3 |
| end              |     3 |
| dark             |     3 |
| reach            |     3 |
| driving          |     3 |
| downhill         |     3 |
| drivers          |     3 |
| blocking         |     3 |
| appear           |     3 |
| aurs             |     3 |
| dean             |     3 |
| streams          |     3 |
| farmland         |     3 |
| cant             |     3 |
| happening        |     3 |
| shortly          |     3 |
| bend             |     3 |
| burnbank         |     3 |
| branches         |     2 |
| tonight          |     2 |
| concern          |     2 |
| draining         |     2 |
| likely           |     2 |
| bredth           |     2 |
| knee             |     2 |
| surrounded       |     2 |
| december         |     2 |
| inch             |     2 |
| carriage         |     2 |
| point            |     2 |
| football         |     2 |
| badly            |     2 |
| hopefully        |     2 |
| normal           |     2 |
| users            |     2 |
| harbour          |     2 |
| slip             |     2 |
| boleside         |     2 |
| roadworks        |     2 |
| heavily          |     2 |
| portsoy          |     2 |
| brake            |     2 |
| mr               |     2 |
| g                |     2 |
| pooling          |     2 |
| watercourses     |     2 |
| widespread       |     2 |
| part             |     2 |
| carron           |     2 |
| milngavie        |     2 |
| thru             |     2 |
| streets          |     2 |
| calor            |     2 |
| sepa             |     2 |
| silt             |     2 |
| farmers          |     2 |
| alternative      |     2 |
| sitting          |     2 |
| selkirk          |     2 |
| noticed          |     2 |
| craigmyle        |     2 |
| td               |     2 |
| authority        |     2 |
| manholes         |     2 |
| kennedy          |     2 |
| overwhelmed      |     2 |
| maybole          |     2 |
| contain          |     2 |
| smell            |     2 |
| tarland          |     2 |
| told             |     2 |
| national         |     2 |
| dam              |     2 |
| inverness        |     2 |
| moness           |     2 |
| meeting          |     2 |
| potentially      |     2 |
| cargen           |     2 |
| raining          |     2 |
| via              |     2 |
| action           |     2 |
| please           |     2 |
| issues           |     2 |
| un               |     2 |
| trough           |     2 |
| terrace          |     2 |
| clear            |     2 |
| paisley          |     2 |
| put              |     2 |
| deveron          |     2 |
| downstream       |     2 |
| colleague        |     2 |
| pressure         |     2 |
| problems         |     2 |
| sandbags         |     2 |
| clyde            |     2 |
| feature          |     2 |
| flats            |     2 |
| feeding          |     2 |
| continue         |     2 |
| battlefield      |     2 |
| torrential       |     2 |
| others           |     2 |
| feeds            |     2 |
| least            |     2 |
| ive              |     2 |
| forward          |     2 |
| hope             |     2 |
| felled           |     2 |
| wide             |     2 |
| washed           |     2 |
| helped           |     2 |
| ayrshire         |     2 |
| hazardous        |     2 |
| yards            |     2 |
| ettrick          |     2 |
| causewayhead     |     2 |
| nov              |     2 |
| tunnel           |     2 |
| might            |     2 |
| partially        |     2 |
| someone          |     2 |
| continuing       |     2 |
| ladeside         |     2 |
| broxburn         |     2 |
| significant      |     2 |
| probably         |     2 |
| crossroads       |     2 |
| whether          |     2 |
| playing          |     2 |
| facing           |     2 |
| craigmill        |     2 |
| dingwall         |     2 |
| delays           |     2 |
| late             |     2 |
| mud              |     2 |
| cottages         |     2 |
| picture          |     2 |
| worried          |     2 |
| croy             |     2 |
| floods           |     2 |
| logged           |     2 |
| gullies          |     2 |
| drums            |     2 |
| recently         |     2 |
| caller           |     2 |
| walls            |     2 |
| asda             |     2 |
| difficult        |     2 |
| broadshade       |     2 |
| metres           |     2 |
| ever             |     2 |
| exiting          |     2 |
| resulted         |     2 |
| shoulder         |     2 |
| stopping         |     2 |
| pool             |     2 |
| concerned        |     2 |
| twenty           |     2 |
| sandbank         |     2 |
| containers       |     2 |
| manhole          |     2 |
| informed         |     2 |
| court            |     2 |
| peoples          |     2 |
| could            |     2 |
| winchburgh       |     2 |
